subj,exp_id,ses_id,marker,object,mag,amp,dur,timestamp
016,1,1,layout10,sacc,17.057031,458.705111,0.098703,0.443807
016,1,1,layout10,sacc,4.214687,118.543147,0.131630,0.558734
016,1,1,layout10,sacc,2.943981,72.651393,0.049518,0.706664
016,1,1,layout10,sacc,2.775605,56.658342,0.065554,0.772632
016,1,1,layout10,sacc,2.463781,44.687326,0.049438,0.953125
016,1,1,layout10,sacc,2.074346,44.461245,0.082315,1.067990
016,1,1,layout10,sacc,14.909080,668.131617,0.213984,1.232089
016,1,1,layout10,sacc,21.107491,642.336932,0.081733,1.971980
016,1,1,layout10,sacc,2.630854,72.833234,0.098798,3.647095
016,1,1,layout10,sacc,2.418261,49.810694,0.081938,3.795338
016,1,1,layout10,sacc,2.381333,53.168329,0.049173,3.893409
016,1,1,layout10,sacc,2.177705,46.299029,0.082035,3.959617
016,1,1,layout10,sacc,3.028879,81.598242,0.098218,4.058262
016,1,1,layout10,sacc,2.601126,72.495579,0.081782,4.189500
016,1,1,layout10,sacc,1.923318,37.130313,0.065827,4.304621
016,1,1,layout10,sacc,3.749868,104.206599,0.049676,4.435684
016,1,1,layout10,sacc,3.411832,79.895792,0.164136,4.501528
016,1,1,layout10,sacc,2.907819,85.921580,0.065767,4.682011
016,1,1,layout10,sacc,2.002338,39.296278,0.082378,4.764149
016,1,1,layout10,sacc,3.529411,91.783659,0.082166,4.895997
017,1,1,layout5,sacc,3.156931,80.882553,0.065598,0.147908
017,1,1,layout5,sacc,10.408832,246.470167,0.082591,0.394237
017,1,1,layout5,sacc,2.905871,79.113487,0.065852,0.624547
017,1,1,layout5,sacc,2.628552,52.323311,0.065502,0.706835
017,1,1,layout5,sacc,3.361845,100.737960,0.065761,0.920361
017,1,1,layout5,sacc,16.573062,538.701745,0.147493,1.117438
017,1,1,layout5,sacc,17.031889,483.696035,0.131380,1.478894
017,1,1,layout5,sacc,12.188488,412.870320,0.131419,2.053769
017,1,1,layout5,sacc,3.396766,76.603790,0.098356,2.267164
017,1,1,layout5,sacc,2.176847,35.973188,0.082125,2.530195
017,1,1,layout5,sacc,2.050894,51.611565,0.049321,2.908140
017,1,1,layout5,sacc,5.621093,149.505468,0.049138,4.189571
017,1,1,layout5,sacc,3.426518,83.882637,0.049574,4.764002
017,1,1,layout4,sacc,20.075865,458.212188,0.065201,0.411255
017,1,1,layout4,sacc,20.015224,539.014851,0.114831,0.657572
017,1,1,layout4,sacc,18.822727,420.488747,0.065476,1.511757
017,1,1,layout4,sacc,23.575261,538.714490,0.065636,3.367852
017,1,1,layout4,sacc,20.028579,542.929150,0.082306,3.614562
001,1,1,layout3,sacc,15.724294,395.340015,0.098511,0.213504
001,1,1,layout3,sacc,19.508808,381.326555,0.098658,0.640592
001,1,1,layout3,sacc,22.238766,568.893799,0.114869,1.133544
001,1,1,layout2,sacc,19.101690,418.603119,0.098518,0.344831
001,1,1,layout2,sacc,19.717649,349.393990,0.082049,0.739119
001,1,1,layout2,sacc,24.114899,553.979294,0.098564,1.379793
