x,y,d,t
0.872178,0.969590,4.190000,137.550565
0.889700,0.824620,4.220000,137.566965
0.890814,0.817870,4.235000,137.583341
0.854246,0.940870,4.170000,137.599776
0.876172,0.745480,4.185000,137.616201
0.874749,0.753140,4.230000,137.632703
0.880301,0.726600,4.165000,137.649310
0.886466,0.703850,4.255000,137.665741
0.890735,0.687750,4.275000,137.682241
0.867447,0.714180,4.270000,137.698680
0.870986,0.605930,4.245000,137.715228
0.870986,0.605930,4.220000,137.731487
0.860467,0.685120,4.190000,137.747925
0.860309,0.678980,4.190000,137.763964
0.856676,0.694000,4.180000,137.781125
0.853205,0.730460,4.175000,137.797501
0.861119,0.675660,4.220000,137.813182
0.861119,0.675660,4.315000,137.830271
0.855714,0.701800,4.280000,137.846466
