x,y,d,t
0.502925,-0.315710,4.365000,83.184081
0.660824,0.098950,3.960000,83.200803
0.793878,0.484040,4.075000,83.216932
0.792849,0.492400,4.185000,83.233117
0.828500,0.804030,4.100000,83.249625
0.841983,0.765900,4.115000,83.266525
0.847220,0.743650,4.125000,83.282665
0.862779,0.777580,4.105000,83.299290
0.864607,0.745740,4.235000,83.315334
0.860484,0.760970,4.170000,83.331635
0.850651,0.856060,4.135000,83.348521
0.839806,0.888080,4.220000,83.364958
0.836088,0.901220,4.180000,83.381384
0.833203,0.885920,4.055000,83.397883
0.812458,0.878200,4.030000,83.414291
0.815911,0.864810,4.110000,83.430487
0.842000,0.878390,4.125000,83.447274
0.829867,0.850630,4.085000,83.463237
0.833405,0.837390,4.085000,83.479859
0.842849,0.840780,4.090000,83.496275
0.834429,0.798790,4.025000,83.512537
0.836066,0.796980,4.010000,83.528930
0.851501,0.734320,4.010000,83.545794
0.846061,0.829930,4.000000,83.562026
0.845752,0.827350,3.965000,83.578495
0.847372,0.599200,4.135000,83.594565
0.819348,0.707870,4.040000,83.611008
0.816986,0.720060,4.050000,83.627352
0.835092,0.736150,3.970000,83.643712
0.860276,0.731380,3.965000,83.660197
0.864303,0.716200,4.085000,83.676637
0.841634,0.680080,4.070000,83.693135
0.828044,0.669390,4.035000,83.709630
0.828044,0.669390,3.985000,83.725951
0.847169,0.657590,3.970000,83.742295
0.844835,0.656740,3.975000,83.759134
0.850229,0.632300,4.045000,83.775373
0.840290,0.685060,4.010000,83.791725
0.712428,0.620200,3.710000,83.808495
0.711719,0.628210,3.555000,83.824991
0.245238,0.739240,3.435000,83.841188
0.133672,0.812850,3.840000,83.857904
0.134139,0.814380,3.840000,83.874094
0.119840,0.833740,3.910000,83.890715
0.105074,0.847370,3.920000,83.906762
